paper_id	affiliations
weng18_interspeech	['tencent ai lab, bellevue, usa', 'tencent ai lab, shenzhen, china']
prasad18_interspeech	['speech processing laboratory,', 'international institute of information technology, hyderabad, india']
hsu18_interspeech	['computer science and artificial intelligence laboratory', 'massachusetts institute of technology', 'cambridge, ma 02139, usa']
naik18_interspeech	['amazon alexa machine learning']
wang18b_interspeech	['center for language and speech processing, johns hopkins university', 'institute of acoustics, chinese academy of sciences']
cortes18_interspeech	['department of linguistics, stockholm university, stockholm, sweden', 'department of digital humanities, university of helsinki, helsinki, finland']
li18_interspeech	['key laboratory of speech acoustic and content understanding, institute of acoustics, china', 'university of chinese academy of sciences, china', 'xinjiang laboratory of minority speech and language information processing, china']
zhao18_interspeech	['school of electrical, electronic and computer engineering, the university of western australia', '(uwa), australia']
ahmadi18_interspeech	['marcs institute, western sydney university', 'information technology center, nagoya university']
park18_interspeech	['dept. of industrial engineering & center for superintelligence, seoul national university,', 'republic of korea', 'kakao brain corporation, republic of korea']
lee18_interspeech	['department of electrical and computer engineering', 'university of california, san diego']
rasanen18_interspeech	['department of signal processing and acoustics, aalto university, finland', 'max planck institute for psycholinguistics, netherlands']
zhang18b_interspeech	['machine intelligence technology, alibaba group']
delvaux18_interspeech	['fnrs, belgium', 'irstl, umons, belgium']
niehues18_interspeech	['institute for anthropomatics and robotics', 'kit - karlsruhe institute of technology, germany']
shi18_interspeech	['key lab of shanghai education commission for intelligent interaction and cognitive engineering', 'speechlab, department of computer science and engineering', 'shanghai jiao tong university, shanghai, china']
ji18_interspeech	['institute of automation, chinese academy of sciences, china', 'university of chinese academy of sciences, china']
np18_interspeech	['aalto university, department of signal processing and acoustics, espoo, finland']
ridouane18_interspeech	['lpp, cnrs-sorbonne nouvelle, paris', 'llf, cnrs-universite paris-diderot, paris', 'univ. grenoble alpes, cnrs, gipsa-lab, grenoble 38000, france']
loweimi18_interspeech	['speech and hearing research group (spandh), university of sheffield']
su18b_interspeech	['cas key laboratory of human-machine intelligence-synergy systems,', 'shenzhen institutes of advanced technology, chinese academy of sciences', 'shenzhen college of advanced technology, university of chinese academy of sciences', 'the chinese university of hong kong, hong kong, china']
leemann18_interspeech	['lancaster university, united kingdom', 'university of zurich, switzerland', 'neue zurcher zeitung, switzerland']
benes18_interspeech	['iiit - hyderabad, india']
hermes18_interspeech	['ifl – phonetics, university of cologne, germany', 'lpp, umr7018, cnrs-sorbonne nouvelle, paris, france', 'paris3.fr']
gosztolya18_interspeech	['mta-szte research group on artificial intelligence, szeged, hungary', 'institute of informatics, university of szeged, hungary']
toth18_interspeech	['institute of informatics, university of szeged, hungary', 'mta-szte research group on artificial intelligence, szeged, hungary', 'department of phonetics, e¨otv¨os lorand university, budapest, hungary', 'mta-elte lendulet lingual articulation research group, budapest, hungary', 'department of telecommunications and media informatics,', 'budapest university of technology and economics, budapest, hungary']
gosztolya18b_interspeech	['mta-szte research group on artificial intelligence, szeged, hungary', 'university of szeged, department of hungarian linguistics, szeged, hungary', 'department of psychiatry, university of szeged, hungary', 'research institute for linguistics, hungarian academy of sciences, budapest, hungary', 'prevention of mental illnesses interdisciplinary research group, university of szeged, hungary']
tanihara18_interspeech	['graduate school of information science and technology, the university of tokyo, japan']
feng18_interspeech	['department of electronic engineering, the chinese university of hong kong, hong kong']
ragni18_interspeech	['department of engineering, university of cambridge', 'trumpington street, cambridge cb2 1pz, uk']
dong18_interspeech	['institute of automation, chinese academy of sciences, china', 'university of chinese academy of sciences, china']
kyriakopoulos18_interspeech	['alta institute / engineering department', 'cambridge university', 'trumpington st, cambridge cb2 1pz, uk']
scharenborg18_interspeech	['centre for language studies, radboud university nijmegen, netherlands', 'donders institute for brain, cognition, & behavior, radboud university nijmegen, netherlands', 'intelligent systems department, delft university of technology, netherlands', 'institute for computing and information sciences, radboud university nijmegen, netherlands']
tang18_interspeech	['national engineering laboratory for speech and language information processing university of', 'science and technology of china, hefei, anhui, p.r.china', 'school of computing, university of kent, medway, uk']
baird18_interspeech	['zd.b chair of embedded intelligence for health care and wellbeing, univeristy of augsburg, germany', 'machine intelligence and signal processing group, technische universitat munchen, germany', 'deutsche telekom, berlin, germany', 'glam – group on language, audio and music, imperial college london, uk.']
zelasko18_interspeech	['intelligent wire, usa', 'department of computer science, electronics and telecommunications, agh university of', 'science and technology, al. mickiewicza 30, krakow, poland', 'department of computational intelligence, wroclaw university of technology, wybrzeze', 'stanislawa wyspianskiego 27', '-370 wroclaw, poland', 'center for language and speech processing, the johns hopkins university, baltimore, md, usa']
hsu18b_interspeech	['computer science and artificial intelligence laboratory', 'massachusetts institute of technology', 'cambridge, ma 02139, usa']
mittag18_interspeech	['quality and usability lab, technische universitat berlin, berlin, germany', 'deutsches forschungszentrum fur kunstliche intelligenz (dfki), berlin, germany']
soto18_interspeech	['columbia university, new york, usa']
xiao18_interspeech	['amazon.com, cambridge, ma, u.s.a.', 'cics, university of massachusetts amherst, amherst, ma, u.s.a.']
nandwana18_interspeech	['speech technology and research laboratory, sri international, menlo park, california, usa']
shi18b_interspeech	['fujitsu research and development center']
ananthapadmanabha18_interspeech	['voice and speech systems, malleswaram, bangalore 560003, india', 'department of electrical engineering, indian institute of science, bangalore 560012, india']
zhou18_interspeech	['institute of automation, chinese academy of sciences', 'university of chinese academy of sciences']
su18c_interspeech	['school of computer software, tianjin university, tianjin, china', 'institute of linguistics, chinese academy of social sciences, beijing, china', 'school of computer science, tianjin university, tianjin, china']
zhao18b_interspeech	['department of computer science and engineering, texas a&m university, united states', 'department of english, iowa state university, united states']
zhang18c_interspeech	['institute of acoustics, chinese academy of sciences, china', 'university of chinese academy of sciences, china', 'xinjiang technical institute of physics and chemistry, chinese academy of sciences']
akuzawa18_interspeech	['graduate school of engineering, the university of tokyo, japan']
ouyang18_interspeech	['dept. of electrical and computer engineering, concordia university, montreal, canada', 'dept. of electrical and computer engineering, mcgill university, montreal, canada']
kelley18_interspeech	['department of linguistics, university of alberta, edmonton, ab, canada']
tseng18_interspeech	['‡robert bosch llc, research and technology center, usa', '†university of southern california, department of electrical engineering, usa', 'γcarnegie mellon university, language technology institute, usa']
zhou18b_interspeech	['dolby laboratories, san francisco, ca, usa']
