paper_id	affiliations	author_area_id	author_area_label
lai23_interspeech	['department of linguistics and cognitive science, pomona college, usa']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
rybakov23_interspeech	['google research']	7	Speech Synthesis and Spoken Language Generation
tseng23_interspeech	['institute of linguistics, academia sinica', 'department of information engineering and computer science, feng-chia university']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
fujimura23_interspeech	['nagoya university, japan', 'line coporation, japan']	5	Analysis of Speech and Audio Signals
deng23_interspeech	['school of communication and information engineering, chongqing university of posts and', 'telecommunications, chongqing (cqupt), china', 'chongqing key laboratory of signal and information processing, cqupt, chongqing, china', 'intelligent speech and audio research lab (isarl), cqupt, chongqing, china']	5	Analysis of Speech and Audio Signals
yang23_interspeech	['department of computer science and engineering, the ohio state university, usa', 'center for cognitive and brain sciences, the ohio state university, usa']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
papi23_interspeech	['fondazione bruno kessler, italy', '♢university of trento, italy', '♮independent researcher']	14	Special Sessions and Challenges
elie23_interspeech	['linguistics and english language; school of philosophy, psychology and language sciences; the', 'university of edinburgh; edinburgh, scotland, united kingdom', 'faculty of arts; university of helsinki; helsinki, finland']	1	Speech Perception, Production, and Acquisition by Human Listeners
yeo23_interspeech	['seoul national university, republic of korea', 'carnegie mellon university, united states of america']	13	Speech, Voice, and Hearing Disorders
scheck23_interspeech	['cognitive systems lab, university of bremen, bremen, germany']	14	Special Sessions and Challenges
lin23_interspeech	['the university of texas at dallas, richardson, usa', 'robert bosch research and technology center, usa - bosch center for artificial intelligence']	5	Analysis of Speech and Audio Signals
singh23_interspeech	['sony research india, india', 'sony group corporation, japan']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
bellegarda23_interspeech	['etsy inc., brooklyn, new york 11201, usa∗']	9	Speech Recognition: Architecture, Search, and Linguistic Components
zhou23_interspeech	['lanzhou university, china']	10	Speech Recognition: Technologies and Systems for New Applications
eom23_interspeech	['samsung research, samsung electronics, republic of korea']	5	Analysis of Speech and Audio Signals
le23_interspeech	['key laboratory of modern acoustics, nanjing university, nanjing 210093, china', 'rtc lab, bytedance, china', 'nju-horizon intelligent audio lab, horizon robotics, beijing 100094, china']	6	Speech Coding and Enhancement
wong23_interspeech	['institute for infocomm research (i2r), a⋆star, singapore']	10	Speech Recognition: Technologies and Systems for New Applications
ghosh23_interspeech	['artificial intelligence lab (ailab), otto-von-guericke-university, magdeburg, germany', 'mobile dialog systems, otto-von-guericke-university, magdeburg, germany', 'speech and language technology, german research center for artificial intelligence (dfki)']	7	Speech Synthesis and Spoken Language Generation
choi23_interspeech	['school of electrical engineering, kaist, south korea']	7	Speech Synthesis and Spoken Language Generation
cappellazzo23_interspeech	['university of trento, trento, italy', 'fondazione bruno kessler, trento, italy']	11	Spoken Dialog Systems and Conversational Analysis
hedeshy23_interspeech	['university of stuttgart, germany', 'semanux gmbh, germany', 'university of southampton, uk']	13	Speech, Voice, and Hearing Disorders
sugiura23_interspeech	['graduate school of medicine, engineering, and agricultural sciences, university of yamanashi']	5	Analysis of Speech and Audio Signals
fagniart23_interspeech	['language sciences and metrology unit, umons, mons, belgium', 'ulb - universite libre de bruxelles, brussels, belgium', 'functional rehabilitation center « comprendre et parler », brussels, belgium', 'fund for scientific research (f.r.s.–fnrs), belgium', 'research institute for language science and technology, umons, mons, belgium']	1	Speech Perception, Production, and Acquisition by Human Listeners
plaquet23_interspeech	['irit, universite de toulouse, cnrs, toulouse inp, ut3, toulouse, france']	4	Speaker and Language Identification
hejna23_interspeech	['aarhus university, denmark', 'university of lille, cnrs, stl, france']	2	Phonetics, Phonology, and Prosody
romero23_interspeech	['department of computer science, university of sheffield, sheffield s1 4dp, uk', 'pfl healthcare limited, hq 5th floor', ' nicholas street, chester ch1 2np, uk']	5	Analysis of Speech and Audio Signals
bousquet23_interspeech	['lia - avignon university']	4	Speaker and Language Identification
schwarz23_interspeech	['amazon alexa, germany', 'amazon alexa, usa']	11	Spoken Dialog Systems and Conversational Analysis
lee23b_interspeech	['samsung research, seoul, south korea']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
wei23_interspeech	['bytedance, singapore', 'machine learning department, mohamed bin zayed university of artificial intelligence, abu', 'dhabi, uae', '{pengfei.wei, yinxiang.stephen, wangchunfeng, lizhonghao.01, xinghua.qu,']		
lin23b_interspeech	['shenzhen international graduate school, tsinghua university, shenzhen, china', 'xiaomi inc., beijing, china']	6	Speech Coding and Enhancement
niizumi23_interspeech	['ntt corporation, japan']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
yue23_interspeech	"[""department of engineering, king's college london, uk"", 'multimedia computing group, delft university of technology, the netherlands', 'speech group, machine intelligence laboratory, university of cambridge']"	13	Speech, Voice, and Hearing Disorders
zhang23_interspeech	['school of computer and communication engineering, university of science and technology beijing, beijing 100083, china', 'ustb-eeasytech joint lab of artificial intelligence, university of science and technology beijing, beijing 100083, china', 'eeasy technology company ltd., zhuhai 519000, china']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
lin23c_interspeech	['inria grenoble rhone-alpes, univ. grenoble alpes, france', 'centralesupelec, ietr (umr cnrs 6164), france', 'univ. grenoble alpes, cnrs, grenoble-inp, gipsa-lab, france']	6	Speech Coding and Enhancement
egaslopez23_interspeech	['university of szeged, institute of informatics, szeged, hungary', 'elrn-szte research group on artificial intelligence, szeged, hungary', 'research center for linguistics, elrn, budapest, hungary', 'elte e¨otv¨os lorand university, dept. of applied linguistics and phonetics, budapest, hungary', 'university of szeged, department of psychiatry, szeged, hungary']	13	Speech, Voice, and Hearing Disorders
moore23_interspeech	['university of sheffield, uk', 'universite de toulon, france']	10	Speech Recognition: Technologies and Systems for New Applications
