paper_id	affiliations
itakura17_interspeech	"['nagoya university, japan', 'monday', ' august', ':45–10:15, aula magna', 'biography', 'fumitada itakura was born in toyokawa, in japan, in august 1940. he studied electronic', 'engineering at nagoya university', '–1963. he advanced to its graduate school and studied', 'information engineering with topics such as statistical optical character recognition and time', ""series analysis of cardiac rhythmicity. after finishing his master's degree in 1965, he worked on"", 'speech signal processing using a statistical approach. he received his doctorate in engineering', 'from nagoya university in 1971 for his work on a statistical method for speech analysis and', 'synthesis.', ""itakura's early work on speech spectral envelope and formant estimation using the maximum"", 'likelihood methods (1967) laid the groundwork for much of the research in speech signal process-', 'ing in the three subsequent decades, ranging from vocoder designs for low bit-rate transmission', 'to distance measures (itakura-saito distance) for speech pattern recognition. he introduced the', 'concepts of the auto-regressive model and the partial auto-correlation to the speech area and', 'developed the first mathematically tractable formulation of the speech recognition problem', 'based on the minimum prediction residual principle, providing a solid framework for integrat-', 'ing speech analysis, representation, and pattern matching into a complete engineering system.', 'his work on autoregressive modeling of speech is used in almost every low-to-medium bit rate', 'speech transmission system. the line spectral pair (lsp) representation, which he developed', 'in the 1975, is now used in nearly every cellular phone system and handset. itakura and hong', ""wang's recent work in sub-band dereverberation algorithms has also become the foundation for"", 'many new breakthroughs. his singular and yet broad contributions to speech signal processing', 'earned him the ieee morris liebmann award in 1986, the most prestigious society award from', 'the ieee signal processing society in 1996, ieee fellow in 2003, the purple ribbon medal from', 'the japanese government in 2003 and the distinguished achievement and contributions award', 'from ieice in 2003. these technical achievements were accomplished mainly at nagoya univer-', 'sity (1965–1968', '–2003), the fourth research section of musashino electrical communication', 'laboratory of ntt (1963–1973', '–1983), acoustic research laboratory of bell telephone', 'laboratories, murray hill (1973–1975), and meijo university (2003–2011).', 'isca medal for scientific achievement', 'the isca medal for scientific achievement 2017 will be awarded to professor fumitada itakura', 'by the president of isca during the opening ceremony.', 'copyright © 2017 isca', 'interspeech 2017', 'august 20–24', ', stockholm, sweden', 'copyright © 2017 isca', 'interspeech 2017', 'august 20–24', ', stockholm, sweden']"
kinnunen17_interspeech	
font17_interspeech	['biometric vox s l., spain']
patil17_interspeech	['speech research lab, dhirubhai ambani institute of information and communication technology', '(da-iict), gandhinagar, gujarat, india']
cai17_interspeech	['sysu-cmu joint institute of engineering, school of electronics and information technology,', 'sun yat-sen university, guangzhou, china', 'sysu-cmu shunde international joint research institute, guangdong, china', 'jiangsu jinling science and technology group limited']
jelil17_interspeech	['department of electronics and electrical engineering,', 'indian institute of technology guwahati, guwahati-781039, india']
witkowski17_interspeech	['agh university of science and technology', 'department of electronics, krakow, poland']
wang17_interspeech	['beijing samsung telecom r&d center, china', 'beijing institute of technology, china']
ylmaz17_interspeech	['cls/clst, radboud university, nijmegen, netherlands', 'fryske akademy, leeuwarden, netherlands', 'omrop fryslˆan, leeuwarden, netherlands']
ylmaz17b_interspeech	['cls/clst, radboud university, nijmegen, netherlands']
ramanarayanan17_interspeech	['educational testing service r&d', 'new montgomery street, suite 1500, san francisco, ca']
rallabandi17_interspeech	['language technologies institute, carnegie mellon university, pittsburgh, pa, usa']
chandu17_interspeech	['carnegie mellon university, usa', 'microsoft research india']
amazouz17_interspeech	['lpp-cnrs universite sorbonne nouvelle paris-iii, paris, france', 'limsi, cnrs, paris saclay university, orsay, france']
guzman17_interspeech	['university of texas at austin, united states']
westhuizen17_interspeech	['department of electrical and electronic engineering, stellenbosch university, south africa']
soto17_interspeech	['columbia university, ny, usa']
lavrentyeva17_interspeech	['itmo university, st.petersburg, russia', 'stc-innovations ltd., st.petersburg, russia']
ji17_interspeech	['national computer network emergency response technical team', 'coordination center of china(cncert/cc), china', 'big data innovation center, creditease, china']
li17b_interspeech	
nagarsheth17_interspeech	['pindrop, atlanta, usa']
chen17_interspeech	['school of electronic and information engineering', 'south china university of technology, guangzhou, china']
