paper_id	affiliations	author_area_id	author_area_label
ai24_interspeech	['school of communication and information engineering, shanghai university, shanghai, china']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
lu24_interspeech	['national engineering research center of speech and language information processing,', 'university of science and technology of china, hefei, p r. china']		
simantiraki24_interspeech	['institute of applied and computational mathematics, forth, greece', 'ikerbasque, bilbao, spain', 'university of the basque country, vitoria-gasteiz, spain']	1	Speech Perception, Production, and Acquisition by Human Listeners
williams24_interspeech	['university of southampton, uk', 'university of nottingham, uk;', 'university of missouri-columbia, usa', 'university of texas at austin, usa']	14	Special Sessions and Challenges
yang24_interspeech	['division of emerging interdisciplinary areas,', 'hong kong university of science and technology,', 'hong kong, china']		
chen24_interspeech	"['college of blockchian industry, chengdu university of information technology, chengdu, china', 'dept. of electrical and electronic engineering, the university of hong kong, hong kong, china', ""school of marine science and technology, northwestern polytechnical university, xi'an, china"", 'institute of artificial intelligence (teleai), china telecom corp ltd, shanghai, china']"	4	Speaker and Language Identification
doan24_interspeech	['school of electronic engineering, soongsil university, seoul, republic of korea']	4	Speaker and Language Identification
li24_interspeech	['cambridge research laboratory, toshiba europe ltd, cambridge, uk']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
niizumi24_interspeech	['ntt corporation', ' doshisha university, japan']	5	Analysis of Speech and Audio Signals
muller24_interspeech	['fraunhofer aisec 2wroclaw university of science and technology 3technical university of', 'munich 4bundesamt fur sicherheit in der informationstechnik 5university of southampton']	6	Speech Coding and Enhancement
kuhn24_interspeech	['stuttgart media university, germany', 'university of tubingen, germany']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
shi24_interspeech	['carnegie mellon university', ' duke kunshan university', ' cornell university', ' multimodal art', 'projection community', ' renmin university of china', ' georgia institute of technology']	7	Speech Synthesis and Spoken Language Generation
cappellazzo24_interspeech	['university of trento, trento, italy', 'fondazione bruno kessler, trento, italy']	5	Analysis of Speech and Audio Signals
parcollet24_interspeech	['samsung ai center cambridge, united kingdom']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
deshmukh24_interspeech	['carnegie mellon university', 'microsoft']	5	Analysis of Speech and Audio Signals
pesan24_interspeech	['faculty of information technology, brno university of technology, brno, czech republic', 'faculty of civil engineering, brno university of technology, brno, czech republic']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
bentum24_interspeech	['center for language studies, radboud university nijmegen, the netherlands', 'tilburg university, the netherlands']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
huo24_interspeech	['google llc, usa']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
niu24_interspeech	['australian national university']	7	Speech Synthesis and Spoken Language Generation
rybakov24_interspeech	['google llc, usa']	9	Speech Recognition: Architecture, Search, and Linguistic Components
hwang24_interspeech	['netmarble ai center, seoul, korea']	7	Speech Synthesis and Spoken Language Generation
gao24_interspeech	['china mobile research, china']	5	Analysis of Speech and Audio Signals
cao24_interspeech	['tianjin key laboratory of cognitive computing and application, college of intelligence and', 'computing, tianjin university, tianjin, china', 'national university of singapore, singapore', 'tencent ai lab, china', 'tianjin branch of national computer network emergency response technical team/coordination', 'center of china, tianjin, china']	6	Speech Coding and Enhancement
kim24_interspeech	['data science and ai lab, ece, seoul national university (snu), korea', 'nvidia', 'aiis, asri, inmc, isrc, and interdisciplinary program in ai, snu, korea']	7	Speech Synthesis and Spoken Language Generation
liu24_interspeech	['ai lab, xiaomi corporation, china']	5	Analysis of Speech and Audio Signals
sun24_interspeech	['the university of edinburgh, edinburgh, uk']	7	Speech Synthesis and Spoken Language Generation
ohagi24_interspeech	['sb intuitions corp']	11	Spoken Dialog Systems and Conversational Analysis
chen24b_interspeech	['department of chinese and bilingual studies, hong kong polytechnic university', 'department of english and communication, hong kong polytechnic university', 'department of linguistics and translation, city university of hong kong', 'department of biomedical engineering, hong kong polytechnic university', 'department of computing, hong kong polytechnic university', 'brain hospital, the first hospital of jinan university', 'research institute for smart ageing, the hong kong polytechnic university']	2	Phonetics, Phonology, and Prosody
wang24b_interspeech	['school of computer science and engineering, university of new south wales, australia']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
pieper24_interspeech	['institute for telecommunication sciences, national telecommunications and information', 'administration, united states']	5	Analysis of Speech and Audio Signals
yoon24_interspeech	['department of ai, chung-ang university, seoul, south korea', 'department of ece and inmc, seoul national university, seoul, south korea']	10	Speech Recognition: Technologies and Systems for New Applications
oiso24_interspeech	['university of tsukuba, japan', 'nec corporation, japan']	6	Speech Coding and Enhancement
lay24_interspeech	['signal processing (sp), university of hamburg, germany']	6	Speech Coding and Enhancement
christ24_interspeech	['university of augsburg, germany 2chi, tu munich, germany 3university of passau, germany', 'tu dortmund, germany 5glam, imperial college london, uk']	11	Spoken Dialog Systems and Conversational Analysis
jin24_interspeech	['∗, wei kang1, xiaoyu yang1, zengwei yao1, fangjun kuang1,', 'liyong guo1, lingwei meng3, long lin1, yong xu2, shi-xiong zhang2, daniel povey1', 'xiaomi corp., beijing, china', 'tencent ai lab, bellevue, usa;', 'the chinese university of hong kong, hong kong sar, china']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
triantafyllopoulos24_interspeech	['chi – chair of health informatics, mri, technical university of munich, germany', 'department of cardiology, university hospital augsburg, university of augsburg, germany', 'division of phoniatrics, medical university of graz, austria', 'chair of embedded intelligence for health care and wellbeing, university of augsburg, germany', 'glam – group on language, audio, & music, imperial college, uk']	13	Speech, Voice, and Hearing Disorders
triantafyllopoulos24b_interspeech	['chi – chair of health informatics, mri, technical university of munich, germany', 'eihw – embedded intelligence for health care & wellbeing, university of augsburg, germany', 'glam – group on language, audio, & music, imperial college london, uk']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
triantafyllopoulos24c_interspeech	['chi – chair of health informatics, mri, technical university of munich, germany', 'mcml – munich center for machine learning 3mdsi – munich data science institute', 'glam – group on language, audio, & music, imperial college london, uk']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
wang24c_interspeech	['meta ai']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
wiepert24_interspeech	['department of neurology, mayo clinic (rochester), usa']	14	Special Sessions and Challenges
li24b_interspeech	['huawei translation services center, beijing, china', 'school of informatics, xiamen university, china']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
li24c_interspeech	['huawei translation services center, china']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
xiao24_interspeech	['national engineering research center for multimedia software,', 'school of computer science, wuhan university', 'sleep medicine centre, zhongnan hospital of wuhan university']	5	Analysis of Speech and Audio Signals
gao24b_interspeech	['wxg tencent, china']	6	Speech Coding and Enhancement
ai24b_interspeech	['national engineering research center of speech and language information processing,', 'university of science and technology of china, hefei, p r. china']	6	Speech Coding and Enhancement
irino24_interspeech	['faculty / graduate school of systems engineering, wakayama university, japan']	13	Speech, Voice, and Hearing Disorders
wang24d_interspeech	['beijing key laboratory of mobile computing and pervasive device, institute of computing', 'technology, chinese academy of sciences, beijing, china', 'university of chinese academy of sciences, beijing, china', 'beijing jiaotong university, beijing, china']	5	Analysis of Speech and Audio Signals
vali24_interspeech	['aalto university, department of information and communications engineering, finland']	6	Speech Coding and Enhancement
wu24_interspeech	['school of electrical engineering and telecommunications, unsw sydney, australia', 'university of melbourne, australia']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
