paper_id	affiliations
picheny19_interspeech	['ibm research ai', 'ibm t j. watson research center yorktown heights, ny 10598']
ramteke19_interspeech	['national institute of technology karnataka, surathkal, india', 'school of allied health sciences, manipal, karnataka']
ali19_interspeech	['†qatar computing research institute', 'hamad bin khalifa university, doha, qatar', '‡computational approaches to modeling language lab', 'new york university abu dhabi, uae']
fallgren19_interspeech	['kth royal institute of technology']
diez19_interspeech	['brno university of technology, faculty of information technology, it4i centre of excellence', 'speechlab, department of computer science and engineering, shanghai jiao tong university']
vestman19_interspeech	['biometrics research laboratories, nec corporation, japan', 'computational speech group, university of eastern finland, finland']
shon19_interspeech	['mit computer science and artificial intelligence laboratory, cambridge, ma, usa', 'center for language and speech processing, johns hopkins university, baltimore, usa', 'mit lincoln laboratory, lexington, ma, usa']
gao19_interspeech	['university of science and technology of china, hefei, china', 'school of computing, university of kent, medway, uk']
lin19_interspeech	['data science research center, duke kunshan university, kunshan, china', 'school of electronics and information technology, sun yat-sen university, guangzhou, china,', 'limsi, cnrs, univ. paris-sud, universite paris-saclay, orsay, france']
chung19b_interspeech	['naver corporation, south korea']
xie19_interspeech	['center for language and speech processing &', 'human language technology center of excellence,', 'the johns hopkins university, baltimore, md', ', usa']
mccree19_interspeech	['human language technology center of excellence', 'johns hopkins university, baltimore, md, usa']
ghahabi19_interspeech	['eml european media laboratory gmbh, berliner strasse 45', ' heidelberg, germany']
park19_interspeech	['university of southern california', 'jd ai research']
shafey19_interspeech	['google']
cumani19_interspeech	['politecnico di torino, italy']
yamamoto19_interspeech	['nec corporation, japan']
ylmaz19_interspeech	['dept. of electrical and computer engineering, national university of singapore, singapore', 'cls/clst, radboud university, nijmegen, netherlands', 'cyberupt bv, south africa', 'icis, radboud university, nijmegen, netherlands']
dubey19_interspeech	['robust speech technologies lab (rstl), center for robust speech systems (crss)', 'the university of texas at dallas, richardson, tx- 75080, usa']
kovacs19_interspeech	['embedded internet systems lab, lulea university of technology, lulea, sweden', 'mta-szte research group on artificial intelligence, szeged, hungary', 'institute of informatics, university of szeged, szeged, hungary', 'department of electrical engineering (esat), ku leuven, leuven, belgium']
soni19_interspeech	['tcs innovations lab']
wu19c_interspeech	['key laboratory of speech acoustics and content understanding, institute of acoustics, china', 'university of chinese academy of sciences, china', 'xinjiang laboratory of minority speech and language information processing,', 'xinjiang technical institute of physics and chemistry, chinese academy of sciences, china']
ming19_interspeech	"[""queen's university belfast, belfast bt7 1nn, u.k.""]"
soni19b_interspeech	['tcs innovations lab', 'yantra park, thane, mumbai, india']
kumar19_interspeech	['samsung research institute india - bangalore']
delcroix19_interspeech	['ntt communication science laboratories, ntt corporation, kyoto, japan', 'center for language and speech processing, johns hopkins university, baltimore, md, usa']
hsu19_interspeech	['usc information sciences institute, marina del rey, ca, usa']
suzuki19_interspeech	['graduate school of integrated science and technology, shizuoka university, shizuoka, japan', 'national institute of advanced industrial science and technology, japan']
wu19d_interspeech	"[""school of computer science, northwestern polytechnical university, xi'an, china"", 'tencent ai lab, shenzhen, china', 'tencent ai lab, bellevue, usa']"
wang19b_interspeech	['department of computer science and engineering, the ohio state university, usa', 'center for cognitive and brain sciences, the ohio state university, usa']
wang19c_interspeech	['department of computer science and engineering, the ohio state university, usa', 'center for cognitive and brain sciences, the ohio state university, usa']
neekhara19b_interspeech	['uc san diego department of computer science', 'uc san diego department of electrical and computer engineering', 'uc san diego department of music']
fujimoto19_interspeech	['national institute of information and communications technology, japan']
