paper_id	affiliations
sainath15_interspeech	['google, inc. new york, ny, u.s.a']
bhargava15_interspeech	['department of electrical and computer engineering, mcgill university', 'google inc., new york, ny, u.s.a']
palaz15_interspeech	['idiap research institute, martigny, switzerland', 'ecole polytechnique federale de lausanne (epfl), lausanne, switzerland', 'facebook ai research, menlo park, ca, usa']
ogawa15_interspeech	['dept. of computer science, waseda university', 'toyohashi university of technology']
lin15_interspeech	['research center for information technology innovation, academia sinica, taipei, taiwan', 'asus headquarters, advanced technology division, kauhsiung, taiwan']
golik15_interspeech	['human language technology and pattern recognition, computer science department,', 'rwth aachen university', ' aachen, germany', 'spoken language processing group, limsi cnrs, paris, france']
glavitsch15_interspeech	['empa, swiss federal laboratories for materials science and technology, switzerland', 'department of comparative linguistics, university of zurich, switzerland']
windmann15_interspeech	['faculty for linguistics and literary studies, bielefeld university, germany', 'institute of behavioral sciences, university of helsinki, finland']
eriksson15_interspeech	['department of linguistics, stockholm university, sweden']
zahner15_interspeech	['department of linguistics, university of konstanz, germany']
mixdorff15_interspeech	['department of computer science and media, beuth university berlin, germany', 'lis, university of buenos aires, argentina', 'university of bielefeld, citec, germany']
simonetti15_interspeech	['the marcs institute, university of western sydney']
michalsky15_interspeech	['department of german studies, university of oldenburg']
reichel15_interspeech	['institute of phonetics and speech processing, university of munich', 'hungarian academy of sciences, budapest, hungary', 'constantine the philosopher university, nitra & ii sas bratislava, slovakia']
sarma15_interspeech	['department of electronics and electrical engineering', 'department of humanities and social sciences', 'indian institute of technology guwahati', 'guwahati 781039, india']
repp15_interspeech	['humboldt-universitat zu berlin, germany']
jabeen15_interspeech	['university of konstanz, germany']
mady15_interspeech	['research institute for linguistics, hungarian academy of sciences, budapest, hungary']
benus15_interspeech	['constantine the philosopher university in nitra & ii sas bratislava, slovakia', 'institute of phonetics and speech processing, university of munich, germany', 'institute of behavioral sciences, university of helsinki, finland']
gendrot15_interspeech	['universite sorbonne-nouvelle paris 3 - laboratoire de phonetique et phonologie umr 7018', 'laboratoire de phonetique et phonologie umr 7018']
schauffler15_interspeech	['institute of english linguistics, university of stuttgart, germany', 'institute for natural language processing, university of stuttgart, germany']
andreeva15_interspeech	['computational linguistics & phonetics, saarland university, germany', 'department of linguistics, adam mickiewicz university, poland']
qiu15_interspeech	['school of foreign languages, tongji university', 'school of foreign languages, jiangsu university of science and technology']
oreilly15_interspeech	['phonetics and speech laboratory, school of linguistic, speech and communication sciences', 'trinity college dublin, ireland']
sarmah15_interspeech	['department of humanities and social sciences', 'indian institute of technology guwahati', 'guwahati 781039, india']
wochner15_interspeech	['department of linguistics, university of konstanz, germany']
zorila15_interspeech	['toshiba cambridge research laboratory, united kingdom']
